CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AGE_YEARS,YEARS_EMPLOYED,CNT_FAM_MEMBERS,STATUS
1,0,1,0,90000.0,4,4,1,1,56.0,16.0,2.0,0
1,1,0,2,202500.0,0,1,1,1,40.0,8.0,4.0,0
1,1,1,0,247500.0,4,4,1,1,35.0,11.0,2.0,0
1,1,1,1,765000.0,4,1,1,1,33.0,3.0,3.0,1
1,1,1,1,765000.0,4,1,1,1,33.0,3.0,3.0,0
0,0,1,1,270000.0,0,4,1,1,37.0,12.0,3.0,0
0,0,1,0,315000.0,4,1,2,1,36.0,2.0,1.0,0
1,1,1,2,157500.0,4,4,1,5,35.0,11.0,4.0,0
1,0,1,0,360000.0,0,4,1,1,42.0,8.0,2.0,0
0,0,1,0,112500.0,0,1,1,1,24.0,1.0,2.0,1
0,0,0,0,157500.0,0,1,2,5,43.0,1.0,1.0,0
1,0,1,0,382500.0,1,4,4,1,59.0,0.0,1.0,0
1,0,1,0,382500.0,1,4,4,1,59.0,0.0,1.0,1
0,0,0,0,135000.0,4,4,0,1,26.0,4.0,2.0,0
1,1,0,0,225000.0,1,4,0,1,50.0,0.0,2.0,1
1,1,0,0,225000.0,1,4,0,1,50.0,0.0,2.0,0
1,1,0,0,315000.0,4,1,1,1,43.0,10.0,2.0,0
1,1,0,0,315000.0,4,1,1,1,43.0,10.0,2.0,1
0,0,0,0,180000.0,4,4,1,1,54.0,8.0,2.0,0
0,0,0,0,180000.0,4,4,1,1,54.0,8.0,2.0,1
0,0,0,0,157500.0,4,4,1,1,35.0,9.0,2.0,0
0,1,0,0,144000.0,1,4,1,1,63.0,0.0,2.0,0
1,1,0,0,229500.0,4,2,1,0,50.0,3.0,2.0,1
1,1,0,0,229500.0,4,2,1,0,50.0,3.0,2.0,0
0,0,0,0,270000.0,4,1,1,1,48.0,16.0,2.0,1
0,0,0,0,270000.0,4,1,1,1,48.0,16.0,2.0,0
0,0,0,0,292500.0,2,4,1,1,57.0,24.0,2.0,0
0,0,0,0,292500.0,2,4,1,1,57.0,24.0,2.0,1
0,0,0,0,270000.0,4,1,1,1,34.0,2.0,2.0,0
0,0,0,0,270000.0,4,1,1,1,34.0,2.0,2.0,1
0,1,0,0,225000.0,4,4,1,1,40.0,2.0,2.0,0
1,1,0,0,157500.0,4,2,1,5,29.0,3.0,2.0,0
0,0,0,0,74250.0,4,1,2,2,52.0,14.0,1.0,0
0,0,0,0,135000.0,0,4,1,1,39.0,6.0,2.0,0
1,1,0,1,135000.0,4,4,1,1,27.0,3.0,3.0,0
0,0,0,0,144000.0,4,4,3,1,44.0,25.0,1.0,0
0,0,0,0,202500.0,2,1,1,5,40.0,4.0,2.0,0
0,0,0,0,202500.0,2,1,1,5,40.0,4.0,2.0,1
0,0,0,0,40500.0,1,4,3,1,58.0,0.0,1.0,1
1,1,0,0,337500.0,2,1,1,5,28.0,5.0,2.0,0
1,0,0,0,180000.0,0,4,1,2,40.0,7.0,2.0,0
0,0,0,0,130500.0,4,4,0,1,41.0,13.0,2.0,0
0,0,0,0,144000.0,1,4,1,1,58.0,0.0,2.0,0
0,0,0,0,193500.0,4,4,3,2,44.0,5.0,1.0,1
0,0,0,0,193500.0,4,4,3,2,44.0,5.0,1.0,0
0,0,0,0,112500.0,1,4,4,1,60.0,0.0,1.0,0
0,1,0,0,135000.0,1,4,1,1,55.0,0.0,2.0,0
1,1,0,0,267750.0,4,1,1,1,58.0,13.0,2.0,0
0,0,0,0,139500.0,4,1,2,1,44.0,19.0,1.0,0
1,0,0,0,67500.0,4,4,1,1,51.0,15.0,2.0,0
1,0,0,0,67500.0,4,4,1,1,51.0,15.0,2.0,1
1,1,0,0,252000.0,4,4,1,1,29.0,7.0,2.0,0
1,0,0,0,180000.0,0,3,1,1,58.0,0.0,2.0,0
1,0,0,0,180000.0,0,3,1,1,58.0,0.0,2.0,1
0,0,0,0,135000.0,0,4,1,1,54.0,14.0,2.0,0
0,1,0,0,900000.0,4,1,3,1,52.0,20.0,1.0,1
1,1,0,0,180000.0,0,1,0,1,41.0,2.0,2.0,0
1,1,0,0,180000.0,0,1,0,1,41.0,2.0,2.0,1
1,1,0,0,115290.0,1,4,1,1,64.0,0.0,2.0,0
1,1,0,0,115290.0,1,4,1,1,64.0,0.0,2.0,1
0,0,0,2,225000.0,4,1,1,1,31.0,5.0,4.0,0
1,1,0,1,135000.0,4,4,1,1,26.0,3.0,3.0,0
0,0,0,0,450000.0,2,1,1,1,40.0,15.0,2.0,0
1,0,0,0,279000.0,2,1,3,1,30.0,9.0,1.0,1
1,0,0,0,279000.0,2,1,3,1,30.0,9.0,1.0,0
0,0,0,1,76500.0,4,1,0,1,34.0,1.0,3.0,0
1,0,0,0,202500.0,0,4,1,1,56.0,1.0,2.0,0
0,0,0,2,67500.0,0,1,1,1,28.0,1.0,4.0,0
1,0,0,0,234000.0,4,2,1,1,38.0,6.0,2.0,0
0,0,0,0,90000.0,4,4,3,1,53.0,1.0,1.0,1
0,0,0,0,90000.0,4,4,3,1,53.0,1.0,1.0,0
0,0,0,0,81000.0,4,4,0,1,54.0,3.0,2.0,0
1,0,0,0,108000.0,4,4,3,0,22.0,4.0,1.0,1
1,0,0,0,108000.0,4,4,3,0,22.0,4.0,1.0,0
1,0,0,0,99000.0,1,4,1,1,55.0,0.0,2.0,0
1,0,0,0,198000.0,4,4,3,5,24.0,3.0,1.0,0
1,1,0,0,360000.0,2,1,1,2,41.0,3.0,2.0,0
0,0,0,0,135000.0,1,4,1,1,55.0,0.0,2.0,0
0,0,0,0,76500.0,1,4,1,1,64.0,0.0,2.0,0
0,0,0,0,90000.0,2,4,1,1,26.0,5.0,2.0,0
0,1,0,0,270000.0,0,2,0,1,38.0,2.0,2.0,1
1,1,0,0,81000.0,4,4,1,5,40.0,9.0,2.0,0
0,0,0,0,202500.0,2,1,1,1,47.0,4.0,2.0,0
0,0,0,0,157500.0,4,4,1,1,54.0,27.0,2.0,0
0,0,0,0,157500.0,4,4,1,1,54.0,27.0,2.0,1
0,0,0,0,180000.0,0,1,1,1,36.0,12.0,2.0,0
0,0,0,0,180000.0,0,1,1,1,36.0,12.0,2.0,1
0,0,0,0,135000.0,4,4,1,2,33.0,2.0,2.0,0
0,0,0,2,135000.0,4,4,1,1,27.0,8.0,4.0,0
1,1,0,0,135000.0,0,4,1,1,44.0,17.0,2.0,0
1,1,0,0,270000.0,0,4,1,1,32.0,3.0,2.0,0
0,0,0,0,202500.0,4,1,1,1,44.0,14.0,2.0,0
0,0,0,0,202500.0,4,1,1,1,44.0,14.0,2.0,1
0,0,0,0,157500.0,4,2,1,1,46.0,7.0,2.0,0
0,0,0,0,157500.0,4,2,1,1,46.0,7.0,2.0,1
1,1,0,2,180000.0,4,2,1,1,34.0,6.0,4.0,0
1,1,0,1,112500.0,4,4,2,0,33.0,3.0,2.0,0
0,1,0,0,157500.0,0,4,1,1,37.0,3.0,2.0,0
1,1,0,0,216000.0,4,4,1,1,42.0,2.0,2.0,0
0,1,0,0,202500.0,0,4,1,1,43.0,5.0,2.0,0
0,1,0,0,202500.0,0,4,1,1,43.0,5.0,2.0,1
0,0,0,0,198000.0,0,4,0,1,52.0,27.0,2.0,0
0,0,0,0,198000.0,0,4,0,1,52.0,27.0,2.0,1
0,0,0,0,157500.0,1,4,4,1,56.0,0.0,1.0,0
1,1,0,0,180000.0,4,4,1,1,42.0,9.0,2.0,0
0,1,0,0,315000.0,4,4,1,1,47.0,2.0,2.0,0
0,0,0,0,112500.0,1,4,1,1,58.0,0.0,2.0,0
0,0,0,0,90000.0,4,4,2,1,32.0,2.0,1.0,1
0,0,0,0,90000.0,4,4,2,1,32.0,2.0,1.0,0
0,0,0,0,45000.0,4,4,2,1,39.0,2.0,1.0,0
0,1,0,0,225000.0,4,4,1,1,23.0,5.0,2.0,0
0,0,0,0,112500.0,1,4,3,4,64.0,0.0,1.0,0
0,1,0,0,144000.0,4,4,1,1,48.0,2.0,2.0,0
0,1,0,0,315000.0,0,1,1,1,37.0,8.0,2.0,0
0,0,0,1,112500.0,4,4,1,1,35.0,10.0,3.0,0
0,0,0,2,144000.0,4,4,1,1,34.0,3.0,4.0,0
1,1,0,0,225000.0,1,4,1,1,48.0,0.0,2.0,0
1,1,0,0,135000.0,4,4,1,1,52.0,0.0,2.0,0
0,0,0,0,238500.0,4,4,1,1,53.0,9.0,2.0,0
0,0,0,0,238500.0,4,4,1,1,53.0,9.0,2.0,1
0,0,0,0,112500.0,4,4,1,1,27.0,6.0,2.0,0
1,1,0,1,144000.0,4,2,1,1,28.0,1.0,3.0,0
0,0,0,0,90000.0,1,4,1,1,59.0,0.0,2.0,0
1,0,0,0,202500.0,0,4,3,5,23.0,3.0,1.0,0
1,0,0,0,117000.0,4,4,3,1,40.0,10.0,1.0,0
0,0,0,0,135000.0,2,4,1,1,51.0,30.0,2.0,0
1,0,0,0,225000.0,4,1,3,1,28.0,5.0,1.0,0
0,0,0,0,126000.0,1,4,2,1,53.0,0.0,1.0,1
0,0,0,0,135000.0,0,4,0,1,43.0,1.0,2.0,0
0,0,0,0,90000.0,1,4,4,1,59.0,0.0,1.0,0
0,0,0,0,153000.0,1,4,2,1,64.0,0.0,1.0,0
0,0,0,0,139500.0,1,4,1,1,57.0,0.0,2.0,0
0,0,0,0,157500.0,4,1,1,1,32.0,1.0,2.0,0
0,1,0,0,135000.0,4,4,0,5,30.0,1.0,2.0,0
1,0,0,0,180000.0,4,4,3,1,26.0,5.0,1.0,1
1,0,0,0,180000.0,4,4,3,1,26.0,5.0,1.0,0
0,0,0,0,225000.0,4,4,3,1,53.0,12.0,1.0,0
0,0,0,0,135000.0,4,1,1,1,27.0,7.0,2.0,0
1,1,0,0,292500.0,4,4,1,1,36.0,4.0,2.0,0
0,1,0,0,270000.0,0,1,1,1,53.0,20.0,2.0,0
0,1,0,0,99000.0,4,4,1,1,40.0,12.0,2.0,0
0,0,0,0,135000.0,4,4,1,1,34.0,7.0,2.0,0
0,1,0,0,315000.0,0,1,1,1,37.0,2.0,2.0,1
0,1,0,0,315000.0,0,1,1,1,37.0,2.0,2.0,0
1,1,0,0,270000.0,4,1,3,1,25.0,5.0,1.0,0
1,0,0,0,135000.0,4,4,2,1,39.0,9.0,1.0,0
1,1,0,2,445500.0,2,1,1,2,41.0,19.0,4.0,0
0,0,0,0,198000.0,1,4,4,1,60.0,0.0,1.0,0
0,0,0,0,198000.0,1,4,4,1,60.0,0.0,1.0,1
0,1,0,0,382500.0,4,1,1,1,42.0,11.0,2.0,0
0,0,0,1,202500.0,4,4,1,1,32.0,9.0,3.0,0
0,1,0,0,99000.0,4,4,1,1,41.0,15.0,2.0,0
0,1,0,0,99000.0,4,4,1,1,41.0,15.0,2.0,1
0,0,0,0,112500.0,4,4,1,1,43.0,1.0,2.0,0
1,1,0,0,166500.0,4,1,1,5,29.0,5.0,2.0,0
0,0,0,0,135000.0,2,4,0,1,36.0,15.0,2.0,0
1,1,0,0,202500.0,4,4,0,1,35.0,1.0,2.0,0
0,0,0,0,81000.0,0,4,2,1,49.0,4.0,1.0,1
1,1,0,0,180000.0,4,4,1,1,44.0,0.0,2.0,0
1,0,0,0,225000.0,0,1,0,1,34.0,1.0,2.0,0
0,0,0,0,99000.0,0,1,1,1,28.0,2.0,2.0,0
1,1,0,0,360000.0,0,4,2,5,28.0,2.0,1.0,0
1,1,0,0,360000.0,0,4,2,5,28.0,2.0,1.0,1
1,1,0,0,225000.0,4,1,0,4,40.0,3.0,2.0,0
1,1,0,2,427500.0,0,1,1,1,41.0,18.0,4.0,0
1,1,0,2,427500.0,0,1,1,1,41.0,18.0,4.0,1
0,0,1,2,157500.0,2,1,1,1,42.0,4.0,4.0,0
0,0,1,2,144000.0,4,4,1,2,27.0,5.0,4.0,0
0,0,1,0,157500.0,1,4,0,1,59.0,0.0,2.0,0
1,1,1,0,270000.0,4,4,3,1,36.0,3.0,1.0,0
0,1,0,1,157500.0,4,1,1,1,33.0,6.0,3.0,0
0,1,1,2,90000.0,2,1,1,1,30.0,1.0,4.0,1
0,1,1,2,90000.0,2,1,1,1,30.0,1.0,4.0,0
1,1,0,0,202500.0,4,4,1,1,52.0,10.0,2.0,0
1,1,0,0,202500.0,4,4,1,1,52.0,10.0,2.0,1
0,0,1,2,99000.0,0,1,1,1,35.0,1.0,4.0,1
0,0,1,2,99000.0,0,1,1,1,35.0,1.0,4.0,0
1,1,1,0,360000.0,4,1,1,1,55.0,20.0,2.0,0
0,0,1,2,157500.0,4,4,1,1,29.0,6.0,4.0,0
0,0,1,2,157500.0,4,4,1,1,29.0,6.0,4.0,1
0,0,1,0,135000.0,4,2,3,1,23.0,4.0,1.0,1
0,1,0,2,99000.0,1,4,1,1,35.0,0.0,4.0,0
0,1,1,2,90000.0,2,4,1,1,35.0,12.0,4.0,0
1,0,1,0,90000.0,1,4,0,1,63.0,0.0,2.0,0
1,1,1,0,112500.0,4,4,1,1,44.0,21.0,2.0,0
1,1,1,0,112500.0,4,4,1,1,44.0,21.0,2.0,1
0,1,1,1,135000.0,4,4,1,1,46.0,9.0,3.0,0
0,1,1,0,180000.0,2,4,1,1,57.0,11.0,2.0,0
0,1,1,0,180000.0,2,4,1,1,57.0,11.0,2.0,1
1,1,1,0,495000.0,1,1,3,1,63.0,0.0,1.0,0
1,1,0,2,157500.0,4,4,1,3,40.0,7.0,4.0,0
0,0,1,0,135000.0,4,2,1,1,46.0,10.0,2.0,0
1,1,1,1,360000.0,0,4,1,1,38.0,2.0,3.0,0
0,1,0,1,157500.0,4,4,1,1,34.0,8.0,3.0,0
0,0,1,2,157500.0,2,4,1,1,34.0,6.0,4.0,0
0,0,1,2,157500.0,2,4,1,1,34.0,6.0,4.0,1
1,1,1,0,157500.0,1,4,1,1,64.0,0.0,2.0,0
0,0,1,1,112500.0,2,2,0,1,30.0,10.0,3.0,0
0,1,1,1,112500.0,0,4,2,1,35.0,2.0,2.0,0
0,0,0,0,99000.0,0,1,3,5,30.0,7.0,1.0,1
0,0,0,0,99000.0,0,1,3,5,30.0,7.0,1.0,0
0,0,1,0,135000.0,4,4,1,1,57.0,6.0,2.0,1
0,0,1,0,135000.0,4,4,1,1,57.0,6.0,2.0,0
1,1,1,0,85500.0,1,4,1,1,61.0,0.0,2.0,0
0,0,1,0,292500.0,1,4,0,1,59.0,0.0,2.0,0
0,0,1,0,67500.0,4,4,1,1,60.0,23.0,2.0,0
0,0,1,0,67500.0,4,4,1,1,60.0,23.0,2.0,1
0,0,1,0,90000.0,4,4,1,1,51.0,8.0,2.0,0
0,0,1,0,90000.0,4,4,1,1,51.0,8.0,2.0,1
1,1,1,0,112500.0,4,4,3,1,47.0,7.0,1.0,0
0,0,1,0,112500.0,4,4,1,1,45.0,13.0,2.0,0
0,0,1,0,112500.0,4,4,1,1,45.0,13.0,2.0,1
0,0,1,0,360000.0,4,4,4,1,50.0,21.0,1.0,1
0,0,1,0,360000.0,4,4,4,1,50.0,21.0,1.0,0
0,0,1,0,279000.0,2,1,3,1,30.0,2.0,1.0,0
0,0,1,0,157500.0,4,4,1,1,46.0,10.0,2.0,0
1,1,0,2,157500.0,4,4,1,2,34.0,3.0,4.0,0
1,0,1,0,135000.0,4,4,1,1,57.0,1.0,2.0,0
1,0,1,0,135000.0,4,4,1,1,57.0,1.0,2.0,1
0,1,1,0,112500.0,4,2,3,5,22.0,3.0,1.0,0
0,0,0,0,225000.0,0,4,1,1,28.0,5.0,2.0,0
0,0,0,0,225000.0,0,4,1,1,28.0,5.0,2.0,1
0,1,1,2,306000.0,2,1,1,1,37.0,11.0,4.0,0
0,0,1,0,166500.0,1,4,1,1,62.0,0.0,2.0,0
0,1,1,0,135000.0,1,4,1,1,61.0,0.0,2.0,0
0,1,1,0,202500.0,1,1,4,1,58.0,0.0,1.0,0
0,1,1,0,202500.0,1,1,4,1,58.0,0.0,1.0,1
0,0,1,1,67500.0,2,4,1,2,42.0,5.0,3.0,0
1,0,1,0,180000.0,4,4,3,1,23.0,1.0,1.0,0
1,1,1,0,315000.0,4,4,1,1,39.0,3.0,2.0,0
0,1,1,1,202500.0,4,4,1,1,41.0,15.0,3.0,0
0,0,1,2,270000.0,4,4,1,1,35.0,6.0,4.0,0
1,1,1,0,112500.0,1,4,1,1,64.0,0.0,2.0,1
1,1,1,0,112500.0,1,4,1,1,64.0,0.0,2.0,0
0,1,1,1,157500.0,4,4,1,1,34.0,16.0,3.0,0
1,1,1,0,202500.0,0,3,1,1,51.0,21.0,2.0,0
1,1,1,0,252000.0,4,4,1,1,61.0,4.0,2.0,0
0,0,1,0,135000.0,2,4,1,1,51.0,5.0,2.0,1
0,0,1,0,135000.0,0,4,1,1,58.0,1.0,2.0,0
1,0,1,0,90000.0,4,4,1,1,24.0,2.0,2.0,0
1,1,1,2,225000.0,0,4,0,1,50.0,12.0,4.0,0
1,0,0,1,247500.0,4,4,3,1,46.0,18.0,2.0,0
0,0,1,0,76500.0,0,4,1,1,43.0,14.0,2.0,0
0,0,1,0,76500.0,0,4,1,1,43.0,14.0,2.0,1
0,1,1,0,126000.0,1,4,1,1,64.0,0.0,2.0,0
1,0,1,0,360000.0,4,4,1,1,50.0,4.0,2.0,0
0,0,1,0,135000.0,1,1,3,1,64.0,0.0,1.0,0
1,1,1,0,135000.0,4,3,1,5,27.0,5.0,2.0,0
1,1,1,0,135000.0,4,3,1,5,27.0,5.0,2.0,1
0,0,1,0,135000.0,0,1,1,1,38.0,11.0,2.0,0
1,1,1,0,202500.0,0,1,1,1,52.0,3.0,2.0,0
0,1,1,1,90000.0,2,4,1,1,48.0,22.0,3.0,0
0,1,1,1,90000.0,2,4,1,1,48.0,22.0,3.0,1
1,1,1,0,315000.0,0,2,1,1,59.0,6.0,2.0,0
1,1,1,0,315000.0,0,2,1,1,59.0,6.0,2.0,1
1,1,1,0,225000.0,4,4,1,1,45.0,12.0,2.0,0
1,1,1,0,225000.0,4,4,1,1,45.0,12.0,2.0,1
1,1,1,0,225000.0,4,4,1,1,55.0,3.0,2.0,0
0,1,1,0,247500.0,2,4,1,1,54.0,23.0,2.0,0
0,1,1,1,67500.0,4,4,0,1,40.0,10.0,3.0,0
1,0,1,1,562500.0,4,2,1,1,38.0,15.0,3.0,0
1,0,1,1,562500.0,4,2,1,1,38.0,15.0,3.0,1
0,0,1,0,126000.0,1,4,1,1,56.0,0.0,2.0,0
0,0,1,0,99000.0,4,4,3,1,27.0,3.0,1.0,0
0,0,1,0,135000.0,0,4,1,1,41.0,5.0,2.0,1
0,0,1,0,135000.0,0,4,1,1,41.0,5.0,2.0,0
0,0,1,0,189000.0,0,4,1,1,55.0,17.0,2.0,0
0,0,1,0,157500.0,1,4,1,1,64.0,0.0,2.0,0
0,1,1,1,112500.0,0,4,1,1,41.0,5.0,3.0,0
1,0,0,0,135000.0,0,1,1,1,26.0,0.0,2.0,0
0,0,0,0,216000.0,1,4,1,1,63.0,0.0,2.0,0
0,0,0,0,216000.0,1,4,1,1,63.0,0.0,2.0,1
0,0,1,0,328500.0,0,4,1,1,55.0,5.0,2.0,0
0,0,0,0,126000.0,4,4,3,5,22.0,3.0,1.0,0
1,1,0,1,180000.0,2,2,1,5,29.0,3.0,3.0,0
0,0,1,0,310500.0,2,1,3,1,36.0,4.0,1.0,0
0,0,1,0,126000.0,0,4,1,1,39.0,20.0,2.0,0
0,0,1,2,67500.0,4,4,2,1,41.0,20.0,3.0,1
1,1,0,0,90000.0,0,4,3,1,34.0,6.0,1.0,0
1,1,0,0,90000.0,0,4,3,1,34.0,6.0,1.0,1
0,1,1,1,157500.0,4,1,2,1,27.0,6.0,2.0,0
0,1,1,1,157500.0,4,1,2,1,27.0,6.0,2.0,1
0,1,1,0,270000.0,1,4,1,1,65.0,0.0,2.0,0
0,1,1,0,540000.0,0,1,1,1,38.0,7.0,2.0,0
0,1,1,0,540000.0,0,1,1,1,38.0,7.0,2.0,1
0,1,1,1,225000.0,4,1,1,1,39.0,4.0,3.0,0
0,0,1,0,202500.0,1,4,1,1,60.0,0.0,2.0,1
0,0,1,0,202500.0,1,4,1,1,60.0,0.0,2.0,0
1,1,0,1,270000.0,4,4,2,1,37.0,9.0,2.0,0
0,0,1,0,67500.0,4,4,1,1,43.0,1.0,2.0,1
0,0,1,0,67500.0,4,4,1,1,43.0,1.0,2.0,0
0,1,0,1,180000.0,4,4,1,1,30.0,0.0,3.0,0
0,0,1,0,90000.0,1,4,1,1,59.0,0.0,2.0,0
0,0,1,0,202500.0,1,4,1,1,63.0,0.0,2.0,0
0,0,1,0,202500.0,1,4,1,1,63.0,0.0,2.0,1
0,1,1,0,157500.0,4,4,1,1,36.0,16.0,2.0,0
0,0,1,0,171000.0,3,1,1,1,51.0,11.0,2.0,0
0,1,1,1,157500.0,4,4,1,1,35.0,2.0,3.0,0
0,1,1,1,157500.0,4,4,1,1,35.0,2.0,3.0,1
1,1,1,0,675000.0,2,1,1,1,33.0,6.0,2.0,1
1,1,1,0,675000.0,2,1,1,1,33.0,6.0,2.0,0
1,1,1,0,135000.0,0,1,0,1,36.0,1.0,2.0,0
1,1,1,2,315000.0,4,1,1,1,38.0,0.0,4.0,0
1,1,1,0,112500.0,1,4,1,1,55.0,0.0,2.0,0
0,1,0,2,270000.0,2,1,1,1,38.0,13.0,4.0,1
0,1,0,2,270000.0,2,1,1,1,38.0,13.0,4.0,0
1,1,1,1,202500.0,4,4,1,1,28.0,1.0,3.0,0
0,0,0,1,90000.0,4,4,2,4,39.0,1.0,2.0,0
0,1,1,0,135000.0,4,4,3,1,47.0,7.0,1.0,0
0,1,1,1,157500.0,0,4,1,1,38.0,12.0,3.0,0
1,1,1,0,112500.0,4,4,1,1,28.0,5.0,2.0,0
1,1,1,1,450000.0,4,1,1,3,51.0,7.0,3.0,0
0,0,1,0,76500.0,1,4,0,1,56.0,0.0,2.0,0
1,1,1,0,90000.0,4,4,1,1,58.0,4.0,2.0,0
0,1,0,2,135000.0,4,4,1,1,38.0,8.0,4.0,1
0,1,0,2,135000.0,4,4,1,1,38.0,8.0,4.0,0
0,1,1,0,315000.0,0,4,2,1,50.0,8.0,1.0,0
1,1,1,0,135000.0,0,4,1,1,43.0,8.0,2.0,0
0,1,1,0,121500.0,4,1,1,1,28.0,5.0,2.0,0
0,1,1,0,121500.0,4,1,1,1,28.0,5.0,2.0,1
1,1,1,1,247500.0,4,4,1,1,31.0,4.0,3.0,0
0,0,0,1,72000.0,0,1,1,1,39.0,5.0,3.0,0
1,1,0,0,135000.0,4,4,1,1,56.0,1.0,2.0,0
1,1,1,1,180000.0,4,4,1,1,46.0,9.0,3.0,0
0,0,1,0,112500.0,1,4,1,1,63.0,0.0,2.0,0
0,0,1,1,247500.0,0,2,1,1,30.0,3.0,3.0,0
0,0,1,2,90000.0,4,1,1,1,33.0,12.0,4.0,0
0,0,1,2,90000.0,4,1,1,1,33.0,12.0,4.0,1
0,0,1,0,65250.0,1,4,4,1,55.0,0.0,1.0,0
0,0,1,0,184500.0,4,4,1,1,51.0,3.0,2.0,0
0,0,1,0,90000.0,4,4,0,1,58.0,3.0,2.0,0
0,0,1,0,103500.0,1,2,1,1,61.0,0.0,2.0,0
0,0,1,0,180000.0,4,4,3,1,53.0,6.0,1.0,0
0,1,1,0,180000.0,4,4,0,1,34.0,2.0,2.0,0
0,0,0,0,180000.0,1,4,1,2,53.0,0.0,2.0,0
